failure,peak_score_before_onset,peak_score_after_onset
failure-1,3.1831158373259054,3.9328545588796167
failure-2,4.709710431004008,6.955204934209862
failure-3,4.867488994615912,10.423128281011019
failure-4,2.5995708138776754,2.9430352979459253
